hour_of_day,date,usertype,tripduration_min,tripduration_max,tripduration_mean,tripduration_sum,tripduration_count
00,2019-01-16,Subscriber,95,2840,598.8644859813085,128157,214
00,2019-01-17,Customer,339,1109,782.0,5474,7
00,2019-01-17,Subscriber,84,8188,620.71,124142,200
00,2019-01-18,Customer,438,1732,1210.1,12101,10
00,2019-01-18,Subscriber,91,4538,569.1578947368421,129768,228
00,2019-01-19,Customer,237,2445,853.5,10242,12
00,2019-01-19,Subscriber,64,4891,654.046439628483,211257,323
00,2019-01-20,Customer,391,48391,10472.2,52361,5
00,2019-01-20,Subscriber,89,2649,670.6865671641791,44936,67
00,2019-01-21,Customer,275,6687,2606.75,10427,4
00,2019-01-21,Subscriber,83,2667,542.1696428571429,60723,112
00,2019-01-22,Customer,364,364,364.0,364,1
00,2019-01-22,Subscriber,101,1475,465.6666666666667,25146,54
00,2019-01-23,Customer,267,3695,1502.5,15025,10
00,2019-01-23,Subscriber,72,3815,657.6516129032258,101936,155
00,2019-01-24,Customer,381,49499,6476.0,58284,9
00,2019-01-24,Subscriber,64,3729,613.7333333333333,147296,240
00,2019-01-25,Customer,197,917,608.1428571428571,4257,7
00,2019-01-25,Subscriber,68,2541,618.6026785714286,138567,224
00,2019-01-26,Customer,307,28495,4991.076923076923,64884,13
00,2019-01-26,Subscriber,68,7101,655.4495412844037,214332,327
00,2019-01-27,Customer,215,3304,1288.2,19323,15
00,2019-01-27,Subscriber,76,36052,766.0974358974358,298778,390
00,2019-01-28,Customer,317,933,604.2,3021,5
00,2019-01-28,Subscriber,96,2658,589.5266666666666,88429,150
00,2019-01-29,Customer,245,4389,1538.3333333333333,9230,6
00,2019-01-29,Subscriber,69,4186,647.5320512820513,101015,156
00,2019-01-30,Customer,236,30233,5944.833333333333,35669,6
00,2019-01-30,Subscriber,91,2537,615.0608108108108,91029,148
00,2019-01-31,Customer,235,1363,691.6666666666666,2075,3
00,2019-01-31,Subscriber,66,2639,465.5365853658537,38174,82
00,2019-02-01,Customer,378,1637,973.5,7788,8
