hour_of_day,date,gender,tripduration_min,tripduration_max,tripduration_mean,tripduration_sum,tripduration_count
00,2019-03-11,2,98,1266,408.4074074074074,11027,27
00,2019-03-12,0,192,2017,1150.888888888889,10358,9
00,2019-03-12,1,64,33213,871.0960451977401,154184,177
00,2019-03-12,2,176,55467,3208.409090909091,70585,22
00,2019-03-13,0,105,2001,560.0,5600,10
00,2019-03-13,1,62,3272,564.125748502994,94209,167
00,2019-03-13,2,172,2035,642.0344827586207,18619,29
00,2019-03-14,0,141,3482,1189.3,11893,10
00,2019-03-14,1,87,2962,620.2686567164179,166232,268
00,2019-03-14,2,71,1722,578.1842105263158,21971,38
00,2019-03-15,0,130,2990,848.5909090909091,18669,22
00,2019-03-15,1,65,298691,1632.6233421750662,615499,377
00,2019-03-15,2,90,5006,796.8714285714286,55781,70
00,2019-03-16,0,143,53892,2713.5588235294117,92261,34
00,2019-03-16,1,64,792076,2457.103386809269,1378435,561
00,2019-03-16,2,108,3413,757.8354430379746,59869,79
00,2019-03-17,0,190,3289,984.1923076923077,25589,26
00,2019-03-17,1,61,68475,831.7725947521866,285298,343
00,2019-03-17,2,67,2046,609.4430379746835,48146,79
00,2019-03-18,0,265,27989,3796.3333333333335,45556,12
00,2019-03-18,1,84,2895,651.3812949640288,90542,139
00,2019-03-18,2,100,1537,489.9642857142857,13719,28
00,2019-03-19,0,93,2156,1252.4444444444443,11272,9
00,2019-03-19,1,81,3208,615.1690821256038,127340,207
00,2019-03-19,2,99,2284,653.8823529411765,22232,34
00,2019-03-20,0,253,24625,2190.705882352941,37242,17
00,2019-03-20,1,84,2690,598.8451882845188,143124,239
00,2019-03-20,2,140,2688,762.59375,24403,32
00,2019-03-21,0,236,3612,883.5,12369,14
00,2019-03-21,1,77,385218,2188.748031496063,555942,254
00,2019-03-21,2,102,3262,697.219512195122,28586,41
00,2019-03-22,1,72,1225,452.463768115942,31220,69
00,2019-03-22,2,217,1062,509.6,5096,10
00,2019-03-23,0,233,2320,1321.6,6608,5
00,2019-03-23,1,63,199100,1279.6864197530865,518273,405
00,2019-03-23,2,80,3079,629.5882352941177,42812,68
00,2019-03-24,0,215,53634,2887.703703703704,77968,27
00,2019-03-24,1,76,9055,692.2536945812808,281055,406
00,2019-03-24,2,67,2106,631.1555555555556,56804,90
00,2019-03-25,0,210,2124,1084.7142857142858,37965,35
00,2019-03-25,1,75,551637,3655.7589743589742,712873,195
00,2019-03-25,2,116,8375,941.7567567567568,34845,37
00,2019-03-26,0,371,4508,1366.15,27323,20
00,2019-03-26,1,91,3061,649.516129032258,120810,186
00,2019-03-26,2,97,2016,595.4054054054054,22030,37
00,2019-03-27,0,147,20039,1707.111111111111,30728,18
00,2019-03-27,1,74,3079,587.343137254902,119818,204
00,2019-03-27,2,141,32353,2056.409090909091,45241,22
00,2019-03-28,0,125,2557,1062.888888888889,9566,9
00,2019-03-28,1,62,2728,621.9273504273505,145531,234
00,2019-03-28,2,106,2620,670.390243902439,27486,41
00,2019-03-29,0,159,2430,862.5,18975,22
00,2019-03-29,1,65,27128,718.3820512820513,280169,390
00,2019-03-29,2,67,3367,700.15,42009,60
00,2019-03-30,0,63,409284,7010.644736842105,532809,76
00,2019-03-30,1,61,6865,750.4824046920821,511829,682
00,2019-03-30,2,94,41269,924.5421686746988,153474,166
00,2019-03-31,0,188,159386,5419.345454545454,298064,55
00,2019-03-31,1,66,101360,951.6628289473684,578611,608
00,2019-03-31,2,77,158836,1863.9177215189873,294499,158
00,2019-04-01,0,87,2504,681.15,13623,20
00,2019-04-01,1,61,7177,639.1965317919075,110581,173
00,2019-04-01,2,71,1649,428.65625,13717,32
00,2019-04-02,0,166,2923,958.4666666666667,14377,15
00,2019-04-02,1,65,55254,883.4801762114538,200550,227
00,2019-04-02,2,105,2597,697.1081081081081,25793,37
00,2019-04-03,0,372,1113,666.6666666666666,4000,6
00,2019-04-03,1,62,150692,1489.7745098039215,303914,204
00,2019-04-03,2,99,1210,415.44444444444446,11217,27
00,2019-04-04,0,300,2066,1225.9444444444443,22067,18
00,2019-04-04,1,101,3137,654.7703180212014,185300,283
00,2019-04-04,2,84,2787,653.2307692307693,33968,52
00,2019-04-05,0,83,24590,1854.4583333333333,44507,24
00,2019-04-05,1,75,7449,674.604938271605,218572,324
00,2019-04-05,2,177,3011,828.4915254237288,48881,59
00,2019-04-06,0,133,37815,3610.846153846154,46941,13
00,2019-04-06,1,62,21190,775.9144144144144,172253,222
00,2019-04-06,2,128,2590,710.6153846153846,36952,52
00,2019-04-07,0,244,35345,1954.3119266055046,213020,109
00,2019-04-07,1,62,878108,2005.8404401650619,1458246,727
00,2019-04-07,2,115,213928,2043.7403314917126,369917,181
00,2019-04-08,0,156,1685198,85674.4,1713488,20
